Number of nodes: 11501
Number of edges: 209020

Degree	Number of genes	Genes
59	31	ACTR1B, ACVR2A, ACVRL1, ADCY8, AFF4, CHEK2, CX3CR1, DIEXF, E2F3, EHMT2, HEY1, IL10, ITPR1, KDM6A, KMT2C, LAMA5, MPHOSPH10, NCAM1, NDUFV2, NELFCD, OPRM1, POLR3A, SUPT6H, UBE2V2, UTP18, WDR43, WNT10A, WNT16, WNT2B, WNT9B, WWP1
58	29	ADCY2, ADCY4, ADCY6, CBX3, CLOCK, EFNA5, FGF18, FGF7, GABARAPL2, GCN1, GTSE1, LPAR2, MCM4, MCM6, NDUFAB1, NDUFS4, NDUFS8, NELFB, PPP2R2C, PSIP1, RIOK2, SAR1B, SNAP29, STX3, STX7, TPM3, UBE2B, USE1, VTN
57	26	BAD, BCR, CCL11, CDC7, CEBPD, COL13A1, COL16A1, DDX39A, EAF1, FGF16, HDAC7, HIST2H2BF, HIST3H2BB, IRF2, KIF15, MLLT1, NDUFS1, NDUFS2, NDUFV1, NR5A1, PNN, PPP2R2D, RPS6KA1, RRAS2, THRB, TPM4
56	35	APOBEC3G, CCL4, CCL5, CDH5, CDK5, COPS7A, COPS8, CSH1, DDX39B, H2BFM, H2BFWT, HTR1B, IWS1, KPNA1, LRP1, MCL1, MCM5, MORF4L2, MYBBP1A, NDUFA10, NDUFA12, NDUFA2, NDUFB4, NDUFC1, NDUFS7, NOS1, ODC1, PRICKLE1, REPS2, SCFD1, STXBP1, TAF3, TF, TUBB2A, TUBB3
55	62	APOA1, ARHGAP35, BCL6, BET1L, CACNB2, CACNB3, CACNB4, CCND2, CCT7, COL14A1, COL8A2, COPS7B, CREM, INPP5B, KIF26A, LPAR3, MCRS1, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND5, MT-ND6, NDUFA1, NDUFA11, NDUFA3, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC2, NDUFS3, NDUFS5, NDUFS6, NDUFV3, NELFA, NOTCH4, NPY, PEBP1, PELP1, PLG, PRKDC, RPS6KA3, SMO, TERT, TLR3, TNFSF13B, TNKS2, TPM2, TRAPPC3, TSC1
54	36	ACVR1B, ADAM17, ARHGEF6, ARNTL, ATF6B, CACNA2D2, CACNB1, CNBP, COL19A1, DLG3, EWSR1, GRM6, IL15, IL22, KIF22, LAMTOR3, LAMTOR5, MCM8, MEIS1, PI4KA, PIP5K1A, PPP3CA, PPP3CC, PPP3R1, RIOK1, RNF146, RPP30, SLX4, TAF4B, TGFB3, TMEM126B, TUBB6, UBE2D3, UBE2V1, ZCRB1, ZRSR2
53	42	ACAD9, ACVR1, CDC25C, CHRM4, CNOT6, DDIT3, FANCA, FANCD2, FKBP1A, GFRA1, GMNN, KLHL12, LAMTOR2, MRAS, MYOD1, NDUFAF1, NDUFAF2, NDUFAF3, NDUFAF4, NDUFAF5, NDUFAF6, NDUFAF7, PGR, RNF8, RPP14, RPP21, RPP25, RPP38, RPP40, SLC2A4, SNAP25, SYT9, TAF9B, THPO, TIMMDC1, TLR2, TRAPPC2B, TRAPPC4, TRAPPC6A, TRAPPC6B, TSC2, TUBB2B
52	40	ADRM1, BECN1, BMP4, CACNA2D1, CACNA2D3, CACNA2D4, CACNG1, CACNG5, CACNG6, CACNG7, CASP7, CBLC, CER1, CNOT1, DEK, EFNA4, FANCG, FANCL, FGF19, GCK, IL18, IRAK4, KALRN, MMP14, MUS81, NOB1, PES1, PLD2, RNPC3, SDC3, SMN1, SNRNP25, STUB1, SURF4, TRAPPC1, TRAPPC5, TRAPPC9, TUBB1, VCAN, ZNF638
51	32	ARID1A, BID, CHRM3, EFNA3, ENO1, GBF1, GRIA3, GRM8, HECW1, IL24, LDLRAP1, LTV1, MTA2, MYL9, NCSTN, OAZ1, PDCD7, PIKFYVE, PSEN1, SMARCA2, SMARCD1, SNRNP35, SNRNP48, TFDP2, TNFRSF12A, TNFRSF13C, TNFSF12, TRAPPC10, TRAPPC2L, UBTF, WASF2, ZMAT5
50	36	BLNK, BNIP1, CCNE2, CD3EAP, CD79B, CD8A, CDH15, DDX21, EFNA2, F11R, FGA, FHL2, GEMIN2, GRIA2, GRIA4, HMGB1, IFNA13, MYL12B, NOD2, ORC2, PARD3, PARD6A, PI4KB, PIK3C2G, PIP4K2B, PIP5K1B, POLR1B, PPIB, PSEN2, RASAL2, RB1CC1, SEC23IP, SHC4, TEAD3, TSNARE1, ZMIZ2
49	43	APH1A, BCL10, BGN, CDC45, CDH2, CHRM5, CSF3, F2RL2, F8, FABP4, FANCC, FANCE, FANCF, GABARAP, GEMIN4, GEMIN6, GEMIN7, HDAC6, HTR2A, HTR2C, INO80, L3MBTL2, LIF, MAP3K4, MAVS, MMP1, MYLPF, NAPA, NR1D1, OSM, PIP4K2A, PPP6C, PRKAR1A, PRKD3, RAD52, RIOK3, RPS6KA5, SLX1A, SMARCE1, SRCAP, TAF5L, TBX21, VASP
48	45	ADORA2A, APC2, APH1B, AREG, CACNA1A, CHD3, CHMP3, CTNNAL1, EIF2AK2, EME1, EPHA4, EXOC4, EXOC7, FANCI, FEN1, GEMIN5, GEMIN8, GHRL, GTF3A, LPAR4, MAPK7, MYL6, NGEF, NRP1, OAZ3, PAK4, PBX3, POLR1A, POLR1E, POLR3B, PPARD, REC8, RELN, RINT1, RRAGC, RUNX1, SGK1, SHC2, TAF2, TBL1Y, TGFA, TWISTNB, VEGFD, ZNF274, ZNRD1
47	39	ADORA1, AGFG1, BAG3, CAMK4, CCT6A, CD28, CNTF, CRTAP, CTCFL, CTF1, DRD1, EXOC3, FAAP100, FANCB, FGB, HTR1E, HTR1F, IKZF3, IRAK2, MUC1, OAZ2, ORC3, OSBPL1A, PFDN5, PIP4K2C, POLA2, RASGRP1, RFX5, RPL26L1, SCARB2, SSTR3, STX11, TEAD2, TEAD4, TNC, TRAF5, TUBA1B, TYROBP, UBD
46	40	ARHGEF2, BAIAP2, BAK1, BDNF, CASP10, CD8B, CDH17, CHMP2A, E2F2, ELK1, F5, GNAT1, GRAP, HTR1A, HTR5A, HTR7, ID1, KIAA0319, KPNA3, KPNA4, LAMB1, LAMTOR1, LIMK1, LPAR6, MDC1, NTRK2, PIK3C2B, PKNOX1, PSENEN, PTPRJ, RALA, RIF1, S1PR1, SLC2A8, SNUPN, TGOLN2, TNFAIP3, TNFSF10, TRIM24, ZMIZ1
45	39	AKT1S1, AMFR, APOE, CASK, CDC37, CHD1L, CHMP2B, CIITA, CITED1, CSH2, DAG1, DCC, DMAP1, HBEGF, HIRA, HOXA1, IFT122, IL17D, KL, LAMB3, LAMTOR4, MAFB, MEF2D, MMP7, MYH11, NBAS, P3H1, PI4K2A, PLAUR, PPIA, PREX1, RNF111, RRAGA, SERPINH1, SP100, TADA2B, TICAM1, TTC21B, USP14
44	34	ARFGAP3, BMP2, CASP9, CBX4, CBX8, CD86, CNOT2, CNOT7, CTSC, CTSZ, DRD3, EIF4G2, FCER1A, HCLS1, HDAC10, HTR2B, ID2, IFIH1, IFT172, IL11, ITPR3, MYH6, MYL10, MYL5, MYL7, ORC6, PYGO1, RING1, RYR2, SERPINA1, TADA3, TUBA1C, ZBTB32, ZBTB33
43	42	ACTR8, ADAM10, ADRA1A, APOA2, BANF1, CCL20, CD79A, COQ10A, COQ10B, CYFIP1, DAXX, DBF4, DCP2, DOK2, EDNRA, ESRRA, HERC2, HIST1H2AB, IFT52, IFT88, IL20, LAMA1, MBTD1, MCM10, MSH2, NCL, NEFL, NPAS2, NRG2, ORC4, POLR3E, PRIM2, PYGO2, RAB3A, RNF4, STX19, TANK, TERF2, TIA1, TTN, VCAM1, WAC
42	58	ADRA2A, ARHGDIA, ARID4B, ASF1A, BCAN, BCL2A1, BOP1, CCL2, CD36, CGN, CHMP4B, CYFIP2, DBNL, DIS3, GAPDH, HOMER1, HTR1D, IFI16, IFNE, IFNK, IFNL1, IFNL2, IFNL3, IFNW1, IL19, IL9, INPPL1, KLRK1, KPNA5, LDB1, LILRB1, LRP8, MUC20, MYH10, MYH3, NRIP1, ORC5, PLXNB1, POLE, POLR3D, POLR3F, POLR3H, POLR3K, PRIM1, PRKAR1B, RAD51C, RAPGEF1, RASGRP2, RNF168, SLBP, SND1, SORBS1, SSTR5, TJP2, TSLP, TUBA3C, XRCC3, ZNF335
41	43	ACVR1C, ADORA2B, APBB1, ATXN1, CASP2, CCNA2, CSPG4, CXCL1, DKK1, EEF1D, ELF1, EPHA3, EXOC5, FGG, FURIN, GATA4, GCG, ICAM1, KPNA7, MMP13, MS4A2, MUC2, MUC5AC, MYH8, NFE2L2, OPRD1, PLXNA1, POLR3C, RORA, RTEL1, SFRP1, SKIL, SMARCC2, SSTR1, SSTR2, TFG, TICAM2, TRIO, UBE3A, VDAC1, VEGFC, VTI1B, WT1
40	42	ADRA2C, AMHR2, ARAF, ASAP1, C3, CBX5, CDK12, CRCP, DAPP1, DCHS1, DEAF1, DRD4, EHMT1, EPHA1, EPHA5, F2RL1, FES, GNAT2, GTF3C1, HNF1A, HOXB1, HOXB3, IL1R1, KCNAB1, KCNAB2, KCNAB3, KRT19, KRT8, LMNB1, MMP3, MYOG, NCBP2L, NCKAP1, NCKAP1L, PCK1, PTPN2, RHNO1, RRAGD, SKI, SLC9A3R1, SMAD6, SPP1
39	56	ADRA1B, AGER, AGT, AHR, ANXA1, AP1M1, ARFGAP2, ARFRP1, ATG13, ATP6V1H, CD19, CD80, CDIPT, CITED2, CXCL10, DDX17, DES, DLG2, EP400, EPHA6, EPHA7, EXOC8, FANCM, GAB3, GABBR1, KRT17, LAMA4, LAMB2, LMAN1, LMO4, MTF2, MUC5B, MUC6, NFIA, NRXN1, NRXN2, NRXN3, OPTN, OXTR, PF4, PI4K2B, PKN1, PLAU, PLXNA2, POLE2, POLR3G, POLR3GL, PRNP, RAD9B, RDX, RUNX3, SPHK1, TAB3, UBE2T, ULK1, ZFP36
38	62	AP1B1, ATP1B2, CAPN1, CCL3, CELSR2, CHMP4C, CNOT8, CPT1A, CSNK2A3, DIAPH1, FAAP24, FLI1, GABARAPL1, GATAD2B, GNRHR, ID3, KLB, KLF4, KRT16, LAS1L, LUM, MTNR1B, MUC12, MUC13, MUC15, MUC16, MUC17, MUC19, MUC21, MUC3A, MUC3B, MUC4, MUC7, MUCL1, MYL6B, MYLK, NEDD4, NEK6, NEK9, OPRK1, PDIA3, PHB2, PIK3R4, PLXNA3, PLXNA4, PPP2R3B, PTK6, RASGRP3, ROBO1, RPS4Y2, RRAGB, RSL24D1, SFRP2, SFRP4, SH3GL3, SMPD1, SSTR4, STX6, TEAD1, TGFBRAP1, VPS52, VPS54
37	58	ABL2, ACAN, ARL1, ATP1B1, BDKRB2, CASP1, CELSR3, CHMP4A, CHMP6, CHMP7, CNIH1, CRY1, CXCL11, DRD5, DYNLRB1, FOXM1, GABBR2, GALNT1, GALNT2, H3F3C, HDAC11, HIST1H2AC, HTR6, IGF2, IL16, INPP5E, IRS4, ITPR2, KLF5, KRT18, KRT6A, KSR1, LAMA2, LPAR5, MAFF, MTNR1A, NDN, NFE2, NTN1, PAK5, PAK6, PCDH18, PCK2, PER1, PPP1R12A, PPP2R3A, PPP3R2, RHEB, RIPK3, RNMT, RPS6KA6, RRN3, SPRY4, STK4, TCF7, VPS51, VPS53, WDR77
36	53	ACKR3, AP1S1, ARHGAP5, ATG5, ATP1A1, ATP1B3, BDP1, CDH13, CDH23, CDHR2, CDT1, CFLAR, DARS, EIF3CL, EXOC2, F2RL3, H2AFZ, HIST2H2AC, HLF, IFT140, ITGB1BP1, KIF5B, LMNA, MCFD2, MCM9, MDM4, MORF4L1, MSN, MYBPC2, NCKIPSD, PAG1, PCDH15, PFN1, PLD1, POLE4, POMC, PPP5C, RBFOX2, RBPJL, RPS6KA2, SAP130, SHANK3, SMC1B, SOD1, SYCP2, SYCP3, TH, TIPIN, VDR, VLDLR, WDR12, WDR19, WDR35
35	40	AP1G1, APOC3, ARHGEF12, ARTN, BMP7, CCL23, CDH16, CDH19, CHN1, CXCL9, FCGR2B, FRZB, GFRA3, GPC5, HOMER2, IFT20, INPP4A, INPP4B, IPO8, KRT1, LAMC3, MTMR4, MYH9, NCAN, NFIB, NKX2-5, NRTN, OPRL1, PALB2, PCDH10, PCDH12, PLA2G4A, PSPN, RAD23A, RASGRP4, RHO, RPA4, STAG3, TNFRSF10A, WIPF1
34	80	ACTR5, ADRA2B, ANGPT2, AP1S2, ARHGEF18, ATG12, ATP6V0D1, ATP6V1A, BCL9, CACNA1B, CCL19, CCL21, CDH22, CDHR1, CELSR1, CNIH2, CNIH3, CRY2, CTSS, CYLD, DKK2, DNAJC2, DOCK1, DYNC2LI1, EPHA8, FAT1, FAT2, FAT3, FOXP1, FRAT2, GADD45A, GIT1, GP1BB, GPC2, GPC4, GYS2, H2AFY, HIKESHI, IFT46, IL1RAP, INHBA, INO80B, INO80C, INO80E, KDM5B, KRT14, MAP4K4, MAPKAPK3, MITF, MMS19, MTM1, NONO, PCDH1, PCDH11X, PCDH11Y, PCDH20, PCDH7, PCDH8, PCDH9, PDK1, PKM, PKN2, PPARGC1B, RAD51D, RAPGEF3, RASD1, RGS1, RIC1, RIMS1, RORC, SLC9A1, TAF6L, TBXA2R, TEC, TERF2IP, TRAF3IP1, TUBA3E, UBE2L3, VBP1, VEGFB
33	68	A2M, ADRA1D, AGTR1, ANAPC13, ATG101, BCL2L11, BCL2L2, BDKRB1, BOK, BRK1, CANX, CAPZB, CLUAP1, CPT1B, CPT1C, CTGF, EIF6, ENG, EXOC1, EXOC6, FAAP20, GFRA2, GPC6, GRB7, GYS1, HOMER3, HSPB11, IFT22, IFT27, IFT43, IFT74, IFT80, IFT81, INO80D, KRT5, LMO2, MAGED1, MAML2, MAP1LC3A, MLXIPL, MSH6, MTA3, MYL3, MYO10, NCF1, NECTIN1, NR1H4, PGF, PRAME, RAD51B, RALBP1, RAPGEF4, RGP1, RYBP, SLA2, SUDS3, TIRAP, TLR1, TTC26, TTC30B, TUBA8, TUBAL3, TWIST1, VPS37C, VPS4B, WDR34, WDR60, XRN1
32	59	ADRB3, AP1S3, APBB1IP, ARIH1, ARNT2, ATP6V1C1, CAV3, CCAR2, CCNA1, CDC25B, COL18A1, COMP, CSF1, CXCL2, DKK4, DNMT3B, EIF1B, EPHA10, FOSB, FRAT1, GADD45B, GFRA4, HIST2H2AA3, KPNA6, KRT2, MAP4K1, MAPKAPK5, MBD2, MCMDC2, MECOM, MEN1, MLH1, MYH4, MYL1, NKX2-1, NPHS1, NR5A2, NRG4, PFDN1, PIM1, PPP1R3C, PPP2R3C, RAB14, RNF20, SALL4, SEC16A, SEC16B, SFRP5, SIK1, SNAI1, STAR, TFPT, TRPC6, TUBB8, UBQLN2, VPS28, VPS37A, VPS37B, VPS37D
31	62	ABCE1, ACKR2, AGO1, AHRR, ALX4, ARHGEF1, BABAM1, BCL2L10, BRCC3, C5, CALD1, CASP6, CCL16, CCL25, CD47, CGA, CHMP5, CNOT3, CTSD, CXCL3, CYP1B1, ELK4, ELMO1, EREG, GATAD2A, GTF3C3, GTF3C4, HIST1H2AD, HLA-DMB, HLA-DOB, HOXB9, IKZF1, IRF8, IRF9, KLRD1, MAML1, MAP3K11, MAPKAPK2, MTMR2, MYL4, NFRKB, NME2, NR4A1, PDCD6IP, PFDN4, PKMYT1, POLE3, PROC, RAB10, RBPMS, S1PR3, SAP30L, SGF29, SHB, SORBS3, SRGAP2, TMOD1, TNNC2, TNNI1, VPS72, XPOT, XRCC2
30	69	ADRB1, ALB, APBA1, ARAP1, ARHGAP10, ATP6V1B1, ATP6V1B2, ATP6V1D, ATP6V1E1, BSG, BTC, CD2AP, CDKN2A, CHTF18, COX4I1, CSPG5, CYBB, DCLRE1C, DDX11, DYNLRB2, EIF4EBP1, EYA1, EYA3, GCKR, GFI1, GRHL3, GRIK3, H2AFY2, HIST1H2AG, HIST1H4G, HRH3, IL18R1, KHSRP, KLRC2, KRT15, KRT6B, LATS1, LILRA1, LSM1, MBD1, MCC, MEAF6, MTMR1, MTMR14, MTMR3, MTMR6, MTMR7, MTMR8, MYF6, MYO5A, NEB, NID1, PECAM1, PER2, PPP4R1, PRMT1, RAD51AP1, RNF31, RPS27L, RPS6KB2, SEL1L, SIRT2, SMARCD2, SORT1, STRAP, TCAP, TMIGD3, UIMC1, VPS45
29	77	ADIRF, AP1M2, APOA4, ARHGEF11, ATP1A2, ATP6V1C2, ATP6V1E2, ATP6V1F, BRF1, BTG2, CBX6, CCL14, CCL27, CCL7, CDON, CNR1, CTSG, CXCL13, CYP1A1, DHX8, EBNA1BP2, EIF2AK3, ERG, FAN1, FGF13, FKBP6, FLNC, GCC2, GRB10, GTF3C2, GTF3C5, GZMB, HOXA9, HRH1, HRH4, HTR4, IVL, KRT13, KRT4, KRT7, KRT85, LNPEP, MIER2, MIER3, MSX1, MYBPC1, MYBPC3, MYO6, NCF2, NOL9, NR2E3, PFDN6, PLXNB3, PPP1R15A, PRDM14, PTGES3, RAB3GAP2, RGMB, RNF135, RNGTT, ROR2, RSF1, SERPINE1, SHARPIN, TCIRG1, TERF1, THBS2, TNNC1, TNNI2, TNNT2, TOLLIP, UNC13B, USP1, USP22, VPS11, XCL1, XCL2
28	98	AKAP13, AKAP5, ARHGDIB, ASCL1, ATN1, ATP1A3, ATP1A4, ATP6AP1, ATP6V0C, B4GALT5, BBS4, BRF2, CAMKK2, CBX2, CCL18, CCL22, CD2, CEBPG, COX5A, COX5B, CRADD, CXCL5, CYP2C18, DAB1, DLD, DUSP1, EIF2A, G6PC, GP1BA, GTF3C6, H2AFJ, H2BFS, HIST2H2AB, HIST3H2A, HLA-DOA, IL18RAP, KDM4B, KRT3, KRT31, KRT6C, KRT71, KRT72, KRT73, KRT74, KRT75, KRT76, KRT77, KRT78, KRT79, KRT80, KRT81, KRT82, KRT83, KRT84, KRT86, LPL, MAP1LC3C, MAP3K2, MIER1, MT-CO1, MYBL2, MYLK2, NAPG, NFIX, NODAL, NOL3, NTRK3, PARK7, PDCL, PHC2, POLB, PPBP, PPP1R12B, PPP1R1A, RAB43, RGMA, RPS6KA4, SEPT7, SH2B2, SIX1, SNAI2, SUPT3H, TEX10, TGIF1, TJP3, TLK2, TMEM173, TMF1, TNNT1, TNNT3, TRA2A, TRAP1, TRPV1, TSC22D3, VPS4A, VTA1, WDR18, ZYX
27	79	ACKR4, AIMP1, ANGPT4, ANP32A, AP3D1, APBB2, ARHGEF9, ASF1B, ATXN7, BOC, CACNA1G, CCL8, CHAF1A, CLU, CNGB1, COL6A5, COL6A6, COX8A, CXCL16, CYBA, DDX56, DERL1, EPB41L1, EPC1, EPHX1, FSHB, G6PC2, GP6, GPR50, GPR65, GRIK5, GSC, H2AFB1, H2AFB2, H2AFV, HIST1H2AA, HIST1H2AH, HIST1H2AJ, IBSP, ING3, INHBB, KARS, KAT7, KRT20, KRT9, MAP1LC3B, MKNK1, MT-CO2, MYF5, MYH14, NAA15, NLK, NOD1, PATJ, PDYN, PFDN2, PHF19, PIK3AP1, PKLR, PPL, RAB13, RBM4, RND1, SCN5A, SRGAP1, SYDE1, SYDE2, SYS1, THBS3, THBS4, TIAL1, TLK1, TLR9, TNFAIP8, TNR, TXN, YEATS4, ZNF595, ZNF718
26	103	ABCC8, ABI2, APOC2, ARAP2, ARHGAP25, ARHGAP4, ASXL1, ATAD2, ATP6V0A1, ATP6V0A2, ATP6V1G1, ATP6V1G2, ATP6V1G3, B3GNT2, BAG1, BATF3, BBS1, BMP1, BRD8, C4A, CASP14, CCDC85B, CCL17, CCL28, CCRL2, CHRNA7, CISH, CPLX1, CRTC1, CYP3A4, DCLRE1A, DLC1, EHD1, EYA2, FGF11, FGF12, FGF14, FXYD2, HIPK2, HLTF, HMGB2, IGBP1, KRT10, KRT12, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT40, LAMB4, MADD, MALT1, MIS18A, MMP12, MPDZ, MRGBP, NFATC4, NPLOC4, NRF1, PAIP1, PARVG, PDGFC, PDGFD, PLXNB2, PPP1R3A, PTCH1, PTGS2, RANBP1, RGR, RGS9, RNF41, SCMH1, SCN1B, SET, SH3GLB1, SKAP1, SMC4, SNF8, SPEN, SPIDR, SRI, SSB, SUB1, TAX1BP1, TFAP2B, TGM1, TLN2, TLR6, TNFRSF10B, TRIP6, UBE2G2, VPS18
25	92	ADCY10, ALDOA, ARHGAP26, ARHGAP6, ATP1B4, ATP6V0A4, ATP6V0B, ATP6V0D2, B3GNT3, B3GNT4, B3GNT7, BRAP, CCL13, CD1A, CD1B, CD1C, CEBPE, CENPW, CRYAB, CSNK1G1, CXCL6, CYP2C8, CYP2C9, DEPTOR, DIXDC1, DLL1, DMC1, E2F5, ECT2, ESRP1, ESRP2, EVPL, FCGR3B, G6PC3, GADD45G, GATA6, GP5, GP9, GPR17, GRIK1, GRIK2, GRIK4, GRIN3A, HELLS, HJURP, HRH2, IGFBP3, INHBE, ISL1, KCNJ2, KLF1, LIN7A, LUC7L3, MAF, MDH2, MIS18BP1, MMP15, MYLK3, NKD1, OIP5, OS9, PHC1, PHC3, PHKB, PICK1, PLEKHG5, PYCARD, RAB7B, RALGDS, RAP1GAP, RNF40, SCN1A, SEMA3A, SENP3, SIRT7, SLC40A1, SMARCAL1, SOCS2, SPRY1, ST3GAL1, ST3GAL2, ST3GAL3, ST3GAL4, SURF1, TBCE, THAP7, USP10, USP8, VPS16, WIPF2, WIPF3, ZFPM1
24	86	AATF, ACD, ADCYAP1R1, AGTR2, BBS2, C2, C4B, CABIN1, CCNB3, CFL1, CHD7, CHRNA1, CIT, CNOT6L, COX6A1, COX6B1, COX6C, COX7A2L, COX7B, COX7C, CTSL, CX3CL1, CYP1A2, DDX6, DERL2, DNMT3A, DTL, DTX1, EDNRB, FBN1, FER, FMOD, GEN1, GPR37, HEY2, HLA-DMA, INHBC, JAM3, KDM4A, KIR3DL1, KNG1, LMOD1, MAML3, MAPRE3, MT-CO3, MYLK4, NAPB, NDUFA4, NLGN1, NLGN2, NLGN3, NLGN4X, NLGN4Y, PAX3, PAX8, PINK1, PLA2G4B, PLA2G4C, PLK3, PLN, PPP1R3B, PPP4C, PPRC1, PTPRA, PURA, RAB2A, RAD18, S1PR2, SAA1, SCO2, SEC23B, SFTPB, SH3GL1, SRGAP3, SSBP2, SUN1, SUPT7L, TFAP4, TIMP1, TNXB, TOP1, UBA1, USP34, VPS39, WASF1, ZSCAN10
23	87	ARHGAP1, ARHGAP24, ARHGAP32, ARHGDIG, ARHGEF5, ATP6V0E1, ATP6V0E2, AXL, B3GAT3, BBS7, BICD1, CAND1, CCL1, CCL15, CCL24, CCL26, CD1D, CIAO1, CNOT10, CYP2E1, DDX27, DIDO1, DIS3L2, DNAL4, DPY30, EBI3, ENO3, EPS8, ERLIN2, FABP1, FPR1, GCC1, GGA3, GJD2, GOLGA1, GOLGA4, GPR18, HLX, HNRNPDL, HSPA1L, ING5, IRAK3, KAT8, LGR4, LIN7B, MAP3K8, MARK3, MCF2, MFN2, MTF1, MXI1, NCF4, NEDD9, PCBD1, PDX1, PGK1, PHKA2, PLA2G4D, PLA2G4E, PLA2G4F, PLAT, POLH, POT1, PPP1R3D, PPP1R3E, RAB18, RAB3GAP1, REV1, SEPT4, SLIT2, SMARCA1, SOX15, SUN2, SYNE1, SYNE2, TDGF1, TINF2, TNN, TNPO1, TOR1A, TREX1, TRPC3, TSPOAP1, UBA7, UBR5, ZBTB17, ZIC3
22	83	ABR, ARAP3, ARHGAP17, ARHGAP39, ARHGEF19, ARHGEF4, ATF6, ATRX, BACE1, BAG4, BMP6, BRD4, BRMS1, C2CD5, CAPZA1, CD274, CHMP1A, CHN2, CSTA, CUX1, CYR61, DISC1, DLGAP1, DPYSL2, ECD, ELMO2, EMSY, ERBIN, ERI1, EYA4, FABP3, FCGR2C, FGF21, FLG, GABRB3, GMEB1, GPR55, HTATSF1, JAM2, JARID2, MARK2, MCF2L, MMP8, MSX2, NOC2L, NOTUM, NOX1, NR0B1, NR2F2, NRCAM, OMD, OSCAR, PDK2, PF4V1, PGAM2, PHKA1, PHKG1, PHKG2, PLSCR1, POU4F1, PRMT6, RAB5C, RGS4, RPF2, RRP1B, SCO1, SHANK1, SHANK2, SLC8A1, SMC2, SOX8, SPARC, SPHK2, STARD13, TBPL2, TTK, USP9X, VPS25, VPS36, WTAP, ZDHHC17, ZFYVE9, ZZZ3
21	85	AP1G2, ARHGAP21, ARHGAP22, ARHGAP30, ARHGAP33, ARHGAP9, ARHGEF16, AVPR1B, BACH1, BANP, BAZ2A, BBS5, CAB39, CARD11, CAV2, CD101, CDSN, CHAD, CHD2, CNGA2, CNGA4, CNOT11, CNTN1, COX14, CTSB, CYP2C19, DSP, EPB41, ERC1, F12, FLT3, FPR2, G3BP1, GABRG2, GABRQ, GDF1, GPR37L1, HSPA6, INPP5K, KIF14, LAT2, LEFTY1, LEFTY2, LIN7C, LIPE, LOR, MMP19, MOV10, MYBL1, NR1H3, NXF3, OGN, OPHN1, P2RY2, PARN, PDCD1, PEX14, PLCL1, POLI, PRELP, PRPF4B, PTPN12, PTPN22, PYGL, RAB11FIP3, RAPSN, RCOR1, RGS17, RIN1, S1PR4, SART3, SERPINE2, SGK3, STARD8, STRADA, TBC1D1, TIMM50, TOMM22, TREM2, TRIM8, TTC8, UBA3, UBE4B, WIF1, ZNF280A
20	121	AMH, APAF1, APBB3, ARHGAP11A, ARHGAP12, ARHGAP15, ARHGAP19, ARHGAP31, ARHGAP8, ARHGEF17, ATG14, B4GALT1, B4GALT7, BBIP1, BBS9, BNIP2, C1GALT1C1, CACNA1E, CACNA1I, CAMK1D, CCT6B, CHST4, CIR1, COX11, COX16, COX18, COX20, CRMP1, CTSV, DACT1, DLGAP2, DLGAP3, DLGAP4, EIF4E2, ENY2, FAF1, FGD1, FGD2, FGD3, FOXF1, FUBP1, GABRA2, GABRA5, GABRB1, GABRB2, GABRG3, GALNT3, GCGR, GDF2, GJB3, GJB6, GPR4, GPR45, HMOX1, INPP1, ITPKA, JAG1, KAT6A, KCNJ12, KCNQ3, KERA, KIR2DL1, KIR2DL3, LCE1A, LCE3D, LDB2, LHCGR, LIG4, LLGL1, MARCH6, MBD3L1, MYO9A, NCR1, NECTIN3, NME1, NOX3, NTF3, NXF5, OBSCN, ONECUT1, P2RY10, PCGF6, PDHA1, PHIP, PKP2, PLEKHG2, PORCN, PPFIA1, PPFIA2, PPFIA3, PYGM, RALB, RASSF5, RNF7, RPL7L1, RYK, SEMA4D, SEPT5, SERPINC1, SERPIND1, SGK2, SH2B1, SLC18A2, SLC25A5, SNCAIP, SRA1, SYCE1, SYCE3, TACO1, TBCD, TIAM2, TLE6, TP53BP2, TRAPPC8, TRIM33, VIP, WNK1, XRCC4, ZFYVE16, ZNF219, ZNF280B
