Number of nodes: 11501
Number of edges: 209020

Degree	Number of genes	Genes
95	27	ARNT, B9D1, CC2D2A, CCNF, CDK3, COG6, COL1A2, COPZ1, COPZ2, CSF2, EPHB1, EPHB2, ESPL1, FBXO32, FZD2, HSPA1B, HSPA2, ISG15, LRP2, MRPL11, MRPL3, PIN1, TCTN3, TLE1, TMEM216, UBR2, VAMP4
94	21	AURKAIP1, BCL2L1, BRIP1, CD40LG, COG4, E2F6, GNA13, GNG11, GRM5, GTF2E2, HLA-A, IL6R, MAP2K2, MRPL12, MRPS9, PPP2R5C, SNCA, TAOK1, TCTN1, TCTN2, TMEM67
93	21	AHCTF1, BRAF, CDK8, COG8, CSNK2B, EPN1, EPOR, EXOSC8, GTF2A2, IRF3, MRPL28, MRPS2, MRPS7, PDS5A, PIAS2, PPP2R5D, RASGRF2, STX4, USP7, WAPL, ZWINT
92	18	CCP110, COG5, COPS6, DTX3L, GADD45GIP1, HELZ2, HGF, MRPL4, MRPS11, MRPS15, MRPS5, PDS5B, PRKG1, SFPQ, SGO2, TAF12, TAF13, YKT6
91	30	COG1, COG2, COG7, COL6A1, CXCR2, DNAJC3, EFNB2, FASLG, FBXO2, FZD5, IFNAR1, KIFAP3, LIMS1, MRPL17, MRPL23, MRPL24, MRPL40, MRPL51, MRPL9, MRPS12, MRPS21, MRPS26, MRPS30, MRPS35, PRKAB1, RCC2, SPC25, SPDL1, SPTA1, STAM
90	77	BMPR2, CHCHD1, DSN1, EIF4A2, ERAL1, ERCC6L, EXOSC6, EXOSC9, GRIA1, IL4, IRF7, KNTC1, MAP2K7, MED16, MIS12, MRPL1, MRPL10, MRPL13, MRPL14, MRPL15, MRPL16, MRPL18, MRPL19, MRPL20, MRPL21, MRPL22, MRPL27, MRPL30, MRPL32, MRPL33, MRPL34, MRPL35, MRPL36, MRPL37, MRPL38, MRPL39, MRPL41, MRPL42, MRPL43, MRPL44, MRPL45, MRPL46, MRPL47, MRPL48, MRPL49, MRPL50, MRPL52, MRPL53, MRPL54, MRPL55, MRPL57, MRPL58, MRPS10, MRPS14, MRPS16, MRPS17, MRPS22, MRPS23, MRPS24, MRPS25, MRPS27, MRPS28, MRPS31, MRPS33, MRPS34, MRPS36, MRPS6, MYLIP, NSL1, PTCD3, PTEN, SKA1, SKA2, SMARCC1, SOCS3, SPC24, ZWILCH
89	17	BMI1, CHD4, CHTOP, FBXL3, FOLR1, HLA-E, HUWE1, IFNGR1, POLDIP3, RARB, RNF115, SDC2, SEC23A, SEC24D, THOC1, THOC2, ZNF143
88	32	ANAPC15, ANAPC16, ANK2, ARR3, CALML5, CCT8, CDCA5, EXOSC5, EZH2, F2R, FBXL15, FBXO10, FBXW8, FGF2, FLNB, FLT4, GRK1, GRK4, IL5RA, MED17, MRPS18A, MRPS18B, MRPS18C, POLD1, SARNP, SETDB1, SHH, SPTBN1, THOC5, TRIM69, WNT3A, ZNRF1
87	21	BET1, EXOSC4, EXOSC7, F2, FBXO31, FBXO9, GHR, ILK, LMO7, LRP5, NFATC3, RAD23B, RBBP6, RBM39, RNF114, RNF144B, RNF19A, SMAD7, SRPK1, THOC3, WDR61
86	25	CACNA1S, CALML3, CBLB, CCNE1, FBXL21, FBXO4, FBXO7, HCFC1, HERC6, ITGAX, KIF3B, MIB2, MTIF2, MYO1C, NXF1, PPP2R5A, RARG, SEC24A, SEC24B, SPSB1, THOC6, THOC7, TOP3A, TUFM, ZC3H11A
