353	AMOT
354	AMOTL1
355	AMOTL2
356	AMPD1
357	AMPD2
358	AMPD3
359	AMPH
360	AMT
361	ANAPC1
362	ANAPC10
363	ANAPC11
364	ANAPC13
365	ANAPC15
366	ANAPC16
367	ANAPC2
368	ANAPC4
369	ANAPC5
370	ANAPC7
371	ANG
372	ANGPT1
373	ANGPT2
374	ANGPT4
375	ANGPTL3
376	ANGPTL4
377	ANGPTL8
378	ANK1
379	ANK2
380	ANK3
381	ANKHD1
382	ANKIB1
383	ANKLE2
384	ANKRA2
385	ANKRD1
386	ANKRD12
387	ANKRD17
388	ANKRD2
389	ANKRD27
390	ANKRD28
391	ANKRD6
392	ANKS4B
393	ANKZF1
394	ANLN
395	ANO1
396	ANO10
397	ANO2
398	ANO3
399	ANO4
400	ANO5
401	ANO6
402	ANO7
403	ANO8
404	ANO9
405	ANOS1
406	ANP32A
407	ANP32B
408	ANP32E
409	ANPEP
410	ANTXR1
411	ANTXR2
412	ANXA1
413	ANXA11
414	ANXA2
415	ANXA3
416	ANXA4
417	ANXA5
418	ANXA6
419	ANXA7
420	ANXA9
421	AOC3
422	AOX1
423	AP1B1
424	AP1G1
425	AP1G2
426	AP1M1
427	AP1M2
428	AP1S1
429	AP1S2
430	AP1S3
431	AP2A1
432	AP2A2
433	AP2B1
434	AP2M1
435	AP2S1
436	AP3B1
437	AP3B2
438	AP3D1
439	AP3S1
440	AP3S2
441	AP4B1
442	AP4E1
443	AP4M1
444	AP4S1
445	AP5B1
446	AP5M1
447	AP5S1
448	AP5Z1
449	APAF1
450	APBA1
451	APBA2
452	APBA3
453	APBB1
454	APBB1IP
455	APBB2
456	APBB3
457	APC
458	APC2
459	APCDD1
460	APCS
461	APEH
462	APEX1
463	APH1A
464	APH1B
465	API5
466	APIP
467	APLF
468	APLN
469	APLNR
470	APLP1
471	APLP2
472	APOA1
473	APOA2
474	APOA4
475	APOA5
476	APOB
477	APOBEC1
478	APOBEC2
479	APOBEC3A
480	APOBEC3C
481	APOBEC3F
482	APOBEC3G
483	APOBEC3H
484	APOBR
485	APOC1
486	APOC2
487	APOC3
488	APOC4
489	APOD
490	APOE
491	APOF
492	APOH
493	APOL1
494	APOL3
495	APOL4
496	APOM
497	APP
498	APPBP2
499	APPL1
500	APPL2
501	APRT
502	APTX
503	AQP1
504	AQP2
505	AQP3
506	AQP4
507	AQP5
508	AQP6
509	AQP7
510	AQR
511	AR
512	ARAF
513	ARAP1
514	ARAP2
515	ARAP3
516	ARC
517	ARCN1
518	AREG
519	AREL1
520	ARF1
521	ARF3
522	ARF4
523	ARF5
524	ARF6
525	ARFGAP1
526	ARFGAP2
527	ARFGAP3
528	ARFGEF2
529	ARFIP1
530	ARFIP2
531	ARFRP1
532	ARG1
533	ARG2
